Make,Model,Total_Accidents,Mean_Severity,Fatal_Rate_Pct,Mean_Damage,Composite_Risk_r
Airbus,A319,16,1.125,0.0,1.0,0.006
Boeing,787,26,0.5,0.0,1.0769230769230769,0.018
Boeing,737-7H4,19,0.8947368421052632,0.0,1.105263157894737,0.026
Boeing,777,95,0.8105263157894737,0.0,1.1263157894736842,0.029
Embraer,EMB-145LR,21,1.380952380952381,0.0,1.1904761904761905,0.045
Boeing,757-232,24,2.625,0.0,1.2083333333333333,0.056
Bombardier Inc,CL-600-2B19,18,0.3888888888888889,0.0,1.2777777777777777,0.057
Boeing,717-200,20,1.45,0.0,1.25,0.058
Boeing,747,85,2.0941176470588236,2.35,1.188235294117647,0.061
Boeing,757-222,21,0.8095238095238095,4.76,1.1904761904761905,0.066
