Purpose.of.flight,Total_Accidents,Mean_Severity,Fatal_Rate,Mean_Damage
Asho,6,7.333333333333333,0.6666666666666666,2.6666666666666665
Unknown,12922,6.906748181396069,0.240829592942269,2.0838105556415414
Skydiving,182,5.15934065934066,0.3241758241758242,2.159340659340659
Executive/Corporate,553,4.108499095840868,0.2549728752260398,2.2278481012658227
Air Drop,11,3.6363636363636362,0.2727272727272727,2.3636363636363638
Firefighting,40,3.3,0.475,2.375
Aerial Observation,794,2.769521410579345,0.28085642317380355,2.2682619647355162
Air Race/Show,59,2.610169491525424,0.4915254237288136,2.288135593220339
Public Aircraft,720,2.5555555555555554,0.24305555555555555,2.2625
Business,4016,2.4419820717131473,0.2649402390438247,2.268675298804781
Public Aircraft - State,64,2.296875,0.1875,2.09375
Other Work Use,1264,2.295886075949367,0.2064873417721519,2.175632911392405
Public Aircraft - Local,74,2.108108108108108,0.12162162162162163,2.027027027027027
Ferry,812,1.9679802955665024,0.20812807881773399,2.2561576354679804
Public Aircraft - Federal,105,1.9238095238095239,0.19047619047619047,2.1714285714285713
Personal,49390,1.8288722413444016,0.20969831949787407,2.2033812512654385
Air Race Show,99,1.797979797979798,0.3939393939393939,2.1414141414141414
External Load,123,1.6991869918699187,0.24390243902439024,2.130081300813008
Positioning,1645,1.6346504559270516,0.23829787234042554,2.2066869300911853
Flight Test,404,1.618811881188119,0.20544554455445543,2.150990099009901
Glider Tow,53,1.4528301886792452,0.2641509433962264,2.0754716981132075
Banner Tow,101,1.2772277227722773,0.15841584158415842,2.089108910891089
Instructional,10598,1.0238724287601435,0.09624457444800906,2.0992640120777506
Aerial Application,4710,0.7707006369426752,0.10976645435244162,2.2208067940552016
Pubs,4,0.5,0.0,2.0
Publ,1,0.0,0.0,2.0
