Purpose.of.flight,Total_Accidents,Mean_Severity,Fatal_Rate,Mean_Damage,Fatal_Rate_Pct,Mean_Severity_r,Mean_Damage_r
Asho,6,7.333333333333333,0.6666666666666666,2.6666666666666665,66.7,7.33,2.67
Unknown,12922,6.906748181396069,0.240829592942269,1.8908837641232008,24.1,6.91,1.89
Skydiving,182,5.15934065934066,0.3241758241758242,2.1373626373626373,32.4,5.16,2.14
Executive/Corporate,553,4.108499095840868,0.2549728752260398,2.1735985533453888,25.5,4.11,2.17
Air Drop,11,3.6363636363636362,0.2727272727272727,2.3636363636363638,27.3,3.64,2.36
Firefighting,40,3.3,0.475,2.325,47.5,3.3,2.33
Aerial Observation,794,2.769521410579345,0.28085642317380355,2.2418136020151134,28.1,2.77,2.24
Air Race/Show,59,2.610169491525424,0.4915254237288136,2.23728813559322,49.2,2.61,2.24
Public Aircraft,720,2.5555555555555554,0.24305555555555555,2.2444444444444445,24.3,2.56,2.24
Business,4016,2.4419820717131473,0.2649402390438247,2.245019920318725,26.5,2.44,2.25
Public Aircraft - State,64,2.296875,0.1875,2.046875,18.8,2.3,2.05
Other Work Use,1264,2.295886075949367,0.2064873417721519,2.1297468354430378,20.6,2.3,2.13
Public Aircraft - Local,74,2.108108108108108,0.12162162162162163,1.9594594594594594,12.2,2.11,1.96
Ferry,812,1.9679802955665024,0.20812807881773399,2.247536945812808,20.8,1.97,2.25
Public Aircraft - Federal,105,1.9238095238095239,0.19047619047619047,2.142857142857143,19.0,1.92,2.14
Personal,49390,1.8288722413444016,0.20969831949787407,2.1955659040291557,21.0,1.83,2.2
Air Race Show,99,1.797979797979798,0.3939393939393939,2.0505050505050506,39.4,1.8,2.05
External Load,123,1.6991869918699187,0.24390243902439024,2.065040650406504,24.4,1.7,2.07
Positioning,1645,1.6346504559270516,0.23829787234042554,2.180547112462006,23.8,1.63,2.18
Flight Test,404,1.618811881188119,0.20544554455445543,2.131188118811881,20.5,1.62,2.13
Glider Tow,53,1.4528301886792452,0.2641509433962264,2.0754716981132075,26.4,1.45,2.08
Banner Tow,101,1.2772277227722773,0.15841584158415842,2.089108910891089,15.8,1.28,2.09
Instructional,10598,1.0238724287601435,0.09624457444800906,2.091337988299679,9.6,1.02,2.09
Aerial Application,4710,0.7707006369426752,0.10976645435244162,2.2176220806794054,11.0,0.77,2.22
Pubs,4,0.5,0.0,2.0,0.0,0.5,2.0
Publ,1,0.0,0.0,2.0,0.0,0.0,2.0
